sample_id,stratum,chapter,file,block_index,block_type,issue_types,severities,content_snippet,manual_is_acceptable,manual_content_accuracy,manual_structure_accuracy,manual_formula_table_accuracy,manual_issue_type,manual_notes
S0014,discussion_normal,chapter29,data/structured/chapter29_014.json,2,discussion,,,"3. The total number of offspring for males is an increasing function of the number of mates, but is largely independent of the number of mates in females. Provided females have mated, their fecundity is largely independent of their number of mates. Thus, in...",,,,,,
S0015,discussion_normal,chapter9,data/structured/chapter9_055.json,0,discussion,,,"The currently most popular class of allele-age-based tests are those that search for alleles that are at moderate to high frequency and with long haplotypes. Under the neutral model, a common allele is an old allele and hence has experienced many generation...",,,,,,
S0016,discussion_normal,chapter11,data/structured/chapter11_008.json,0,discussion,,,"Each of these terms (except those involving $ \sigma_A^2 $) reaches a maximum at an intermediate level of inbreeding and then declines to zero as $ f \to 1 $. For additive epistatic effects involving $ n = 2, 3 $, and 4 loci, the peak contributions to the w...",,,,,,
S0017,discussion_normal,chapter26,data/structured/chapter26_015.json,4,discussion,,,"Robertson’s result largely focused on the ultimate selection limit, while Hospital and Chevalet (1993, 1996) considered the dynamics of the approach to this limit. In particular, Hospital and Chevalet (1996) explicitly considered the effects of gametic-phas...",,,,,,
S0018,discussion_normal,chapter10,data/structured/chapter10_031.json,3,discussion,,,"The power of the basic ML approach was examined by Anisimova et al. (2001, 2002, 2003) and Wong et al. (2004), and is a function of two different sample sizes: the number of codons in the sequence, and the number of actual sequences (number of taxa in the p...",,,,,,
S0019,discussion_normal,appendix4,data/structured/appendix4_027.json,6,discussion,,,"A number of tests for the potential presence of publication bias are constructed around the notion of a funnel plot (Light and Pillemer 1984). As shown in Figure A4.6, for each study, one plots the estimated effect size on the horizontal axis and some measu...",,,,,,
S0020,discussion_normal,appendix2,data/structured/appendix2_003.json,7,discussion,,,"Example A2.1. Consider a recessive color locus in cattle in which the genotypes BB and Bb are black, while bb is red. Two black-coated parents are crossed, and produce some red offspring, which implies that both parents must be Bb. A black-coated son of the...",,,,,,
S0021,discussion_normal,chapter30,data/structured/chapter30_018.json,2,discussion,,,"While Aster models accommodate complex residual structures, they are not a panacea when it comes to estimating nonlinear fitness surfaces. In the fitness-estimation literature, nonlinear is often taken as synonymous with quadratic, but we have seen how misl...",,,,,,
S0022,discussion_normal,chapter7,data/structured/chapter7_013.json,11,discussion,,,"Mutational bias in the direction of deleterious alleles ($ \mu/v > 1 $) will elevate this load, but the point remains the same. Finite population size imposes an ultimate barrier to adaptive refinements that can be maintained in a population. Although this...",,,,,,
S0023,discussion_normal,chapter9,data/structured/chapter9_002.json,8,discussion,,,Two other strategies use haplotype information. The first searches for the distinct signatures in the pattern of pairwise linkage disequilibrium (LD) predicted around a hard or a soft sweep ([[SEE_TABLE:8.2]]). The second considers the frequency of a neutra...,,,,,,
S0024,discussion_normal,chapter22,data/structured/chapter22_042.json,0,discussion,,,"There is a vast (and often heated) literature in evolutionary genetics and social evolution dealing with kin selection, group selection, and inclusive fitness (selected works include Wynne-Edwards 1962, 1986; Maynard Smith 1964, 1976; Williams 1966; Wade 19...",,,,,,
S0025,discussion_normal,chapter8,data/structured/chapter8_041.json,0,discussion,,,"Both recurrent sweeps and background selection are expected to lower the effective population size, $ N_e $, and hence reduce neutral variation at tightly linked sites. Do these processes also influence the rate of divergence at such sites? For strictly neu...",,,,,,
S0026,discussion_normal,chapter23,data/structured/chapter23_028.json,5,discussion,,,"While straightforward (beyond some tedious bookkeeping), there are several potential problems with this covariance approach for accommodating partial selfing, which arise from individuals varying in the amount of selfing. In particular, selected individuals...",,,,,,
S0027,discussion_normal,chapter29,data/structured/chapter29_043.json,4,discussion,,,"Kenyan population of long-tailed widowbirds (Euplectes progne). Males with experimentally elongated tails showed greater mating success than males with normal or shortened tails. Further, shortened tails had no impact on the ability of males to control terr...",,,,,,
S0028,discussion_normal,chapter21,data/structured/chapter21_004.json,2,discussion,,,"Reproductive differences between plants and animals underlie many of the differences in the designs that are available to breeders. Historically, plant breeders have had more options than animal breeders because of the reproductive flexibility of many plant...",,,,,,
S0029,discussion_normal,chapter20,data/structured/chapter20_029.json,0,discussion,,,"By their very nature, fitness data have missing values. Individuals may not be recaptured (even when still alive), the number of mates and offspring may be undercounted, and selection on a trait may occur before we measure it for the first time in a cohort....",,,,,,
S0030,discussion_normal,chapter9,data/structured/chapter9_049.json,2,discussion,,,"Hudson et al. (1995) pioneered this approach of conditioning on S with their haplotype test, also referred to as the haplotype partition (HP) or Hudson's haplotype test (HHT). Its initial form (motivated by the observations discussed in Example 9.13) was a...",,,,,,
S0031,derivation,chapter4,data/structured/chapter4_004.json,2,derivation,,,"The sampling variance for the Watterson estimator, analogous to Equation 4.2 and again under the assumptions of neutrality and equilibrium, is [[SEE_FORMULA:4.4a]] where [[SEE_FORMULA:4.4b]]",,,,,,
S0032,derivation,chapter2,data/structured/chapter2_003.json,9,derivation,,,"Rearrangement then leads to the expected time to reach a certain reduction in heterozygosity, [[SEE_FORMULA:2.6b]] which shows that the heterozygosity is reduced to half of its initial value in $ \sim 1.4N $ generations and to 5% of $ H_0 $ in $ \sim 6N $ g...",,,,,,
S0033,derivation,chapter18,data/structured/chapter18_008.json,0,derivation,,,The final pieces of statistical machinery necessary for assessing the success of the breeder's equation are the standard errors associated with the different realized heritability estimators. Consider first the realized heritability estimated from the unwei...,,,,,,
S0034,derivation,chapter22,data/structured/chapter22_041.json,1,derivation,,,"Dividing both sides by $ \sigma(A_{i}, A_{i}) $ gives Queller's generalization of Hamilton's rule as [[SEE_FORMULA:22.58a]]",,,,,,
S0035,derivation,chapter2,data/structured/chapter2_008.json,5,derivation,,,"The general starting expression, which can be extended to all higher-order moments, is [[SEE_FORMULA:2.16b]] where the summation gives the terms in the polynomial expansion. For binomial sampling theory, expressions are available for all expected values of...",,,,,,
S0036,derivation,chapter28,data/structured/chapter28_027.json,3,derivation,,,"Finally, Bürger et al. (1989) examined the heterozygosity at the underlying loci through simulation studies. Generally, there was a reasonable fit between the fully neutral expectation of $ \widetilde{H}_n = \theta/(1 + \theta) $, where $ \theta = 4N_e\mu $...",,,,,,
S0037,derivation,chapter4,data/structured/chapter4_010.json,4,derivation,,,"Another potentially powerful method for estimating $ \rho $ with population-genomic data takes advantage of the standardized linkage disequilibrium ($ r^2 $) introduced in Chapter 2. For neutral sites in drift-mutation equilibrium, Equation 2.29a gives a fu...",,,,,,
S0038,derivation,chapter28,data/structured/chapter28_041.json,1,derivation,,,"More formally, we can use this ratio to assign approximate selection coefficients. Under the deleterious pleiotropy model, Equation 28.45b gives this ratio as $ \tilde{\sigma}_A^2/\sigma_m^2 = 1/s $ when mutations have a fixed selective value. When s varies...",,,,,,
S0039,derivation,chapter24,data/structured/chapter24_022.json,2,derivation,,,"How do the moments of G depend on the distribution of allelic effects at individual loci? If n loci control the character, our assumption of complete additivity implies [[SEE_FORMULA:24.16]] where $ X_{fa,i}\left(X_{mo,i}\right) $ is the value of the patern...",,,,,,
S0040,derivation,chapter2,data/structured/chapter2_015.json,7,derivation,,,"The total expected genealogical depth of a sample, obtained by summing the expectations of each coalescence event, is [[SEE_FORMULA:2.41]]",,,,,,
S0041,derivation,chapter6,data/structured/chapter6_010.json,6,derivation,,,Applying Wright’s formula (Equation 5.5b) together with Equation 6.18d returns [[SEE_FORMULA:6.18f]] and substitution into Equation 6.18c then yields [[SEE_FORMULA:6.18g]],,,,,,
S0042,derivation,chapter2,data/structured/chapter2_003.json,11,derivation,,,"An alternative approach was developed by Kimura (1955b), who used diffusion theory (Appendix 1) to obtain an analytical expression for the probability density of allele frequency at time t, given the starting value $ p_{0} $, [[SEE_FORMULA:2.8]] where $ F(1...",,,,,,
S0043,derivation,chapter28,data/structured/chapter28_015.json,3,derivation,,,"An admissible solution $ (0 < \widetilde{p} < 1) $ requires that the strength of selection $ (s_i = a_i^2/[2V_s]) $; Equation 28.4c) on a locus be strong relative to mutation $ \mu_i $ (Bulmer 1980; Slaktin 1987), namely, that [[SEE_FORMULA:28.11e]]",,,,,,
S0044,derivation,chapter5,data/structured/chapter5_019.json,2,derivation,,,"Let the fitness of an individual formed from gametes $ g_i $ and $ g_j $ be $ W_{g_i,g_j} = W_{g_j,g_i} $ (we use the $ g_i,g_j $ subscript notation to stress that these fitnesses are for specific gametic, as opposed to allelic, combinations). $ W_{g_1,g_4}...",,,,,,
S0045,derivation,chapter8,data/structured/chapter8_024.json,2,derivation,,,"Assuming selection-mutation-drift equilibrium on the allele prior to becoming favored, $ \phi(x) $ is a function of $ N_e $, the selection parameters $ (h_d, s_d) $, and the mutation rate $ \mu_b $ of a to A, and can be obtained using diffusion machinery (C...",,,,,,
S0046,derivation,chapter14,data/structured/chapter14_010.json,4,derivation,,,"Let the liability value $ (z_{i}) $ for individual i be some linear function of the breeding value, $ A_{i} $, an environmental value, $ E_{i} $, plus (potentially) fixed effects, [[SEE_FORMULA:14.14a]] which is mapped onto a mean trait value, y, by a monot...",,,,,,
S0047,derivation,chapter15,data/structured/chapter15_012.json,7,derivation,,,"The possibility of a reversed selection response hints at some of the complicated dynamics that can appear when maternal effects are present. To examine these dynamics in more detail, consider the dilution model with constant directional selection occurring...",,,,,,
S0048,derivation,chapter18,data/structured/chapter18_029.json,1,derivation,,,"Next, we define [[SEE_FORMULA:18.36]] where m is the line mean before selection and A is a weighted measure of change in the mean given constant allele-frequency change, $ \Delta p_{i} $, at a locus (which can vary over loci). The expected line mean from se...",,,,,,
S0049,derivation,chapter22,data/structured/chapter22_037.json,7,derivation,,,"Hence, if the covariance between direct and associative effects is sufficiently negative, any increase in inclusive fitness is more than countered by the decline in the mean social environment. When r = 0, [[SEE_FORMULA:22.52f]] which can be positive or neg...",,,,,,
S0050,derivation,chapter20,data/structured/chapter20_026.json,7,derivation,,,"Postma (2006) noted that besides the prospect of differential bias in PBVs for individuals with different fitnesses, a critical component of Rausher's consistency condition (Equation 20.17b) fails to hold when this regression is based on $ \hat{a} $. Recall...",,,,,,
S0051,derivation,chapter26,data/structured/chapter26_003.json,1,derivation,,,"For the fixation probability to exceed 0.86, the starting allele frequency must exceed [[SEE_FORMULA:26.3b]]",,,,,,
S0052,derivation,chapter28,data/structured/chapter28_007.json,3,derivation,,,(Kimura and Crow 1978). Equations 28.3d and 28.3e are special cases of our previous Equations 17.7b and 17.8a. An important application of Equation 28.3e is the expected fitness associated with a genotypic value of $ G $. Assuming environmental effects are...,,,,,,
S0053,derivation,chapter12,data/structured/chapter12_012.json,2,derivation,,,"This approach assumes a constant additive genetic variance as well as a constant effective population size during the period of divergence being considered. Because drift can also change $ \sigma_A^2 $, the assumption of a constant $ \sigma_A^2 $ is reasona...",,,,,,
S0054,derivation,chapter5,data/structured/chapter5_013.json,6,derivation,,,"Note that, unlike genotypic fitness $ (W_{ij}) $, the marginal fitness $ W_i $ is a function of the allele frequencies and hence is expected to change over time. The concept of marginal fitness can be understood as follows: under random mating, if one allel...",,,,,,
S0055,derivation,chapter28,data/structured/chapter28_007.json,5,derivation,,,"Assuming that the fitness function is given by Equation 28.3b, Equation 16.18a yields the phenotypic variance following selection as [[SEE_FORMULA:28.3g]]",,,,,,
S0056,derivation,chapter24,data/structured/chapter24_023.json,2,derivation,,,"(Kendall and Stuart 1977). Hence, the first three cumulants are equal to the mean, variance, and skew, respectively, while the fourth and fifth cumulants are [[SEE_FORMULA:24.20]]",,,,,,
S0057,derivation,chapter21,data/structured/chapter21_010.json,1,derivation,,,"Making the standard assumption that all appropriate regressions are linear (which follows under the infinitesimal model assumptions; Chapters 6 and 24), the expected response is given by the general form of the breeder's equation (Equations 13.4a and 13.4b)...",,,,,,
S0058,derivation,chapter9,data/structured/chapter9_038.json,2,derivation,,,Their $F^{*}$ test compares the average pairwise divergence (II) with the folded-singletons ($\eta_{1}$) estimators [[SEE_FORMULA:9.26d]],,,,,,
S0059,derivation,chapter26,data/structured/chapter26_002.json,2,derivation,,,"Equation 26.2a, from Kimura (1957), is derived using diffusion theory in Appendix 1, and values of $ u(p_0) $ are plotted in Figure 26.1. Equation 26.2b, which is from Robertson (1960a), uses the approximations $ e^{-x} \simeq 1 - x + x^2/2 $ and $ (1 - x)^...",,,,,,
S0060,derivation,chapter21,data/structured/chapter21_026.json,0,derivation,,,"Example 21.6. For the response under family-based selection schemes involving tetraploids, we will need a bit more detailed treatment of resemblance between polyploid relatives than was given in LW Chapter 7. To begin, we label the four alleles in a tetrapl...",,,,,,
S0061,proposition_definition,chapter26,data/structured/chapter26_018.json,9,proposition,,,"An especially interesting experiment on founder effects was performed by Skibinski and Shereif (1989), who examined sternopleural bristle number in Drosophila melanogaster. Three initial lines were created from a large base population by taking parents from...",,,,,,
S0062,proposition_definition,chapter6,data/structured/chapter6_009.json,1,proposition,,,"This simple statement from Fisher’s (1930) book (which was dictated to his wife as he paced about their living room) has generated a tremendous amount of work, discussion, and sometimes heated arguments. Fisher claimed his result was exact, a true theorem....",,,,,,
S0063,proposition_definition,chapter5,data/structured/chapter5_001.json,1,proposition,,,"Selection is the focus of much of this book, and here we lay the foundations for the response to selection on quantitative traits by first considering scenarios involving one or two loci. There are two fundamental reasons for starting here. First, in some s...",,,,,,
S0064,proposition_definition,chapter17,data/structured/chapter17_009.json,1,definition,,,"Mulder et al. (2007) suggested that one definition is as the slope of the regression of the breeding value, $ A_{v} $, of an individual on some appropriate function of the phenotype value, z. Under the additive-model framework (Equation 17.4a), they show th...",,,,,,
S0065,proposition_definition,chapter27,data/structured/chapter27_004.json,8,proposition,,,"A second assumption of the Fisher-Kimura-Orr adaptive walk model is weak mutation, with only a single beneficial mutation segregating at any one time. With multiple segregating mutations, Hill-Robertson effects (Chapters 3, 7, and 8) reduce the effectivenes...",,,,,,
S0066,proposition_definition,chapter6,data/structured/chapter6_020.json,0,proposition,,,"The breeder’s equation forms the backbone for much of the theory of selection response in quantitative genetics (Chapters 13–20). Almost all of the theory of breeding is framed around it, as is much of evolutionary quantitative genetics, although Robertson’...",,,,,,
S0067,proposition_definition,chapter19,data/structured/chapter19_017.json,0,proposition,,,"There are three potential sources of change in the additive-genetic variance, $ \sigma_A^2 $, during a selection experiment: allele-frequency change from selection; allele-frequency change from drift; and gametic-phase disequilibrium generated by selection...",,,,,,
S0068,proposition_definition,chapter30,data/structured/chapter30_045.json,9,definition,,,"Under soft selection, there is no variation in mean fitness across groups and $ \sigma(\overline{z}_i, \overline{w}_i) = 0 $. Hence, under Price's covariance definition, one might infer that there was no group selection. However, there is clearly multilevel...",,,,,,
S0069,proposition_definition,chapter6,data/structured/chapter6_011.json,7,proposition,,,"Nagylaki (1993) suggested that the statement $ R_W = \sigma_A^2(W)/W $ be referred to as the asymptotic fundamental theorem of natural selection, while Fisher's more narrow (and correct) interpretation based on partial change should be referred to as the Fi...",,,,,,
S0070,proposition_definition,chapter22,data/structured/chapter22_046.json,0,proposition,,,"The class of models just considered assumes that trait values are not influenced by associative effects (i.e., no $ A_{s,j} $ terms appear in expression for $ z_i $), but does allow for fitnesses to be influenced by the trait values of group members (Equati...",,,,,,
S0071,proposition_definition,appendix2,data/structured/appendix2_003.json,2,proposition,,,"Bayes' theorem flips the conditioning variable, allowing us to move from $ (x) $ to $ (x) $. With $ k $ possible values of $ $ ($ \theta_1 $ through $ \theta_k $), the discrete version of Bayes' theorem becomes $$ \Pr(\theta_{j}\mid x)=\frac{\Pr(x\mid\theta...",,,,,,
S0072,proposition_definition,chapter24,data/structured/chapter24_002.json,2,proposition,,,"The next-level model, which Turelli (2017) named Gaussian descendants, starts with the assumption (for unrelated and outbred parents) of a constant within-family variance that is independent of the phenotypes of this parents. Such a constant segregation ker...",,,,,,
S0073,proposition_definition,chapter28,data/structured/chapter28_024.json,3,proposition,,,"In order to proceed, we need to compute the covariance, $ C_s $, among alleles on the same gamete, and the covariance, $ B $, among alleles on different gametes, after selection. Following Lande, we do so by considering the $ n \times n $ matrices $ \mathbf...",,,,,,
S0074,proposition_definition,chapter24,data/structured/chapter24_024.json,7,proposition,,,"Notice from Equation 24.22 that after a single generation of selection, $ K_{3,A} $ and $ K_{4,A} $ will be nonzero, and hence the distribution of breeding values will no longer be normal. At this point, the assumption of bivariate normality no longer holds...",,,,,,
S0075,proposition_definition,chapter7,data/structured/chapter7_001.json,1,proposition,,,"In the previous chapters, we treated the response to selection as an effectively deterministic process, making the assumption that the stochastic force of random genetic drift is negligible relative to the power of selection, and also ignoring the origin of...",,,,,,
S0076,proposition_definition,appendix6,data/structured/appendix6_002.json,3,definition,tex_command_leak,error,"Now consider an $ m n $ matrix, A, of constants. What is the derivative of the $ n 1 $ column vector Ax with respect to x? Recall from the definition of matrix multiplication that the ith element of Ax is $$ \begin{align*}(\mathbf{A}\mathbf{x})_i=\sum\limit...",,,,,,
S0077,proposition_definition,chapter27,data/structured/chapter27_005.json,1,proposition,,,"What exactly is $ n $ and what forces determine this number? The original Fisher model effectively assumed universal pleiotropy, namely, that all new mutations essentially influence every trait in an organism. Under this assumption, the number of independen...",,,,,,
S0078,proposition_definition,chapter25,data/structured/chapter25_006.json,7,proposition,,,"These results ignore the effects of gametic-phase disequilibrium. Negative disequilibrium generated by directional selection reduces the average effect of an allele (plus alleles are associated with an excess of minus alleles at other loci, and vice versa,...",,,,,,
S0079,proposition_definition,chapter9,data/structured/chapter9_021.json,2,proposition,,,"Many factors conspire to reduce the power of such association approaches by decreasing the correlation between present environmental values and current allele frequencies. Even when allele-frequency change has been shaped by the environment, the currently m...",,,,,,
S0080,proposition_definition,chapter2,data/structured/chapter2_012.json,0,proposition,,,"The infinite-alleles model (briefly introduced earlier) was developed prior to the DNA-sequencing era, but was motivated by emerging knowledge on the structure of DNA sequences. In today's world, different alleles under this model are typically viewed as di...",,,,,,
S0081,fatal_error,appendix1,data/structured/appendix1_015.json,9,discussion,tex_command_leak,error,"If we turn to the expected total number of homozygotes, $ f(x) = Nx^ 2 $, which yields $$ \begin{aligned}E(Nx^{2})&=4N_{e}N\left[\int_{0}^{p}x^{2}dx+\frac{p}{1-p}\left(\int_{p}^{1}x dx-\int_{p}^{1}x^{2}dx\right)\right]\\&=4N_{e}N\left[\frac{p^{3}}{3}+\frac{...",,,,,,
S0082,fatal_error,chapter21,data/structured/chapter21_026.json,6,discussion,tex_command_leak,error,"When $x$ and $\mathcal{R}$ are half-sibs, Example 21.6 shows that $2/3$ of sibs share one IBD allele, while $1/6$ share two. We let the notation $(I[x,y]=1)$ and $(I[x,y]=2)$ denote that the pair $(x,y)$ share, respectively, exactly one or two IBD alleles....",,,,,,
S0083,fatal_error,chapter18,data/structured/chapter18_008.json,7,discussion,tex_command_leak,error,"To summarize, the three approaches give extremely similar estimates. $$ \begin{array}{r l r l}&{\mathrm{U n w e i g h t e d~l e a s t-s q u a r e s~r e g r e s s i o n},\widehat{b}_{C}(\mathrm{O L S})}&{}&{\widehat{h}_{r}^{2}=0.2245\pm0.0081}\end{array} $$...",,,,,,
S0084,fatal_error,chapter25,data/structured/chapter25_017.json,5,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0085,fatal_error,chapter29,data/structured/chapter29_029.json,10,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0086,fatal_error,chapter21,data/structured/chapter21_028.json,2,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0087,fatal_error,chapter12,data/structured/chapter12_019.json,8,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0088,fatal_error,appendix5,data/structured/appendix5_009.json,0,discussion,tex_command_leak,error,"3. For any $n$-dimensional symmetric matrix, $a$ corresponding set of $n$ orthonormal eigenvectors can be constructed, namely, we can obtain a set of eigenvalues $\mathbf{e}_i$ for $1 i n$ that satisfies $$ \begin{align*}\mathbf{e}_i^T\mathbf{e}_j=\begin{ca...",,,,,,
S0089,fatal_error,appendix2,data/structured/appendix2_015.json,7,discussion,tex_command_leak,error,"Notice that since we condition on x and $ $ (i.e., their values are known), $ S^2 $ is a constant. Further observe that, as a function of the unknown variance, $ ^2 $, the likelihood is proportional to a scaled inverse $ ^2 $ distribution (Equation A2.30a)....",,,,,,
S0090,fatal_error,appendix1,data/structured/appendix1_014.json,0,discussion,tex_command_leak,error,"Similarly, the conditional fixation times are obtained using Equations A1.23a and A1.23b, with $$ h_{0}(x,p)=\frac{1-x}{1-p}h(x,p)=\left\{\begin{aligned}&4N_{e}&&for0<x<p\\ &4N_{e}\frac{p(1-x)}{x(1-p)}&&for p<x<1\end{aligned}\right. $$ for those paths leadi...",,,,,,
S0091,fatal_error,chapter30,data/structured/chapter30_026.json,2,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0092,fatal_error,chapter14,data/structured/chapter14_008.json,6,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0093,fatal_error,chapter2,data/structured/chapter2_005.json,4,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0094,fatal_error,chapter28,data/structured/chapter28_025.json,9,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0095,fatal_error,chapter21,data/structured/chapter21_011.json,9,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0096,fatal_error,chapter30,data/structured/chapter30_014.json,3,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0097,fatal_error,appendix5,data/structured/appendix5_011.json,1,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0098,fatal_error,chapter30,data/structured/chapter30_030.json,1,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0099,fatal_error,chapter11,data/structured/chapter11_007.json,1,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0100,fatal_error,chapter15,data/structured/chapter15_012.json,0,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0101,fatal_error,chapter18,data/structured/chapter18_007.json,4,discussion,tex_command_leak,error,The resulting covariance matrix becomes $$ \mathbf{V}=0.1647\cdot\begin{pmatrix}h^{2}+0.2&h^{2}&h^{2}&h^{2}&h^{2}\\h^{2}&2h^{2}+0.2&2h^{2}&2h^{2}&2h^{2}\\h^{2}&2h^{2}&3h^{2}+0.2&3h^{2}&3h^{2}\\h^{2}&2h^{2}&3h^{2}&4h^{2}+0.2&4h^{2}\\h^{2}&2h^{2}&3h^{2}&4h^{2...,,,,,,
S0102,fatal_error,appendix1,data/structured/appendix1_015.json,4,discussion,tex_command_leak,error,"Example A1.9. If we again assume an allele under drift only, consider two different functions, the total number of copies of the allele and total number of homozygotes involving this allele, with both expectations computed along only those paths that lose t...",,,,,,
S0103,fatal_error,chapter8,data/structured/chapter8_004.json,3,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0104,fatal_error,appendix3,data/structured/appendix3_008.json,4,discussion,tex_command_leak,error,"Following the same logic just used yields $$ \begin{aligned}P(y\rightarrow x)p(y)&=q(y,x)\alpha(y,x)p(y)\\&=q(y,x)\left(\frac{q(x,y)p(x)}{q(y,x)p(y)}\right)p(y)\\&=q(x,y)p(x)=q(x,y)\alpha(x,y)p(x)\\&=P(x\rightarrow y)p(x)\\ \end{aligned} $$ which concludes...",,,,,,
S0105,fatal_error,chapter29,data/structured/chapter29_035.json,1,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0106,fatal_error,chapter22,data/structured/chapter22_022.json,4,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0107,fatal_error,appendix2,data/structured/appendix2_014.json,0,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0108,fatal_error,appendix5,data/structured/appendix5_007.json,12,discussion,tex_command_leak,error,"The eigenstructure of G shows why the vector of responses, $ $, is rotated away from the direction of the vector that corresponds to the direction of selection, $ $. From Example A5.1, $ || || = $, while $ \mathbf{e}_1^T \boldsymbol{\beta} \simeq 0.727 $ an...",,,,,,
S0109,fatal_error,chapter21,data/structured/chapter21_033.json,11,discussion,tex_command_leak,error,"Estimates of epistatic variances were not significantly different from zero. Consider the expected response under a design with 25 half-sib families, each with a total of 50 offspring scored over five environments ($ n_e = 5 $). The top five families were s...",,,,,,
